Ai,C1,C2,C3,C4,C5
A1,148.875,11514.5,37.125,433084.375,2.3855
A2,137.5,11019,43.16666667,469719.5,7.161
A3,72.36363636,12059.72727,35,374623.4545,5.430181818
A4,84.73333333,12037.7,36.33333333,437203.4667,5.638966667
A5,86,13473,38.75,522261,4.045
Type,-1,-1,1,-1,1
