Ai,C1,C2,C3,C4,C5
A1,63.6,11054.4,40.4,441880.4,2.2874
A2,118.1,12155,35.9,430679.1,7.1225
A3,92.05882353,11457.88235,35.64705882,412380.6471,5.297588235
A4,83.23529412,12208.11765,36.64705882,448442.3235,5.637588235
Type,-1,-1,1,-1,1
