Ai,C1,C2,C3,C4,C5
A1,100.8333333,11927.66667,42,508156.1667,2.113
A2,59,11631.66667,33.33333333,391643.3333,6.776
A3,95.18181818,12028.63636,40.81818182,446537,5.67
A4,83.40909091,12119.95455,36.72727273,449593.0909,5.360727273
A5,107.8571429,13126.14286,40.14285714,533388,3.915571429
Type,-1,-1,1,-1,1
