Ai,Name,C1 esg_score,C2 lead_time_in_days,C3 quantity,C4 unit_price,C5 total_sales
A1,SUPPLIER 1,63.6,11054.4,40.4,441880.4,2.2874
A2,SUPPLIER 10,118.1,12155,35.9,430679.1,7.1225
A3,SUPPLIER 2,92.05882353,11457.88235,35.64705882,412380.6471,5.297588235
A4,SUPPLIER 28,83.23529412,12208.11765,36.64705882,448442.3235,5.637588235
Type,,-1,-1,1,-1,1
