Ai,C1,C2,C3,C4,C5
A1,160.3333333,10571.33333,31,317330.6667,2.113
A2,36.33333333,11330.66667,43.33333333,447895.6667,6.776
A3,113.1764706,10977.41176,36.64705882,384581.5294,4.148117647
A4,93.4047619,11431,35.69047619,407604.3095,6.271428571
A5,77.71428571,11469.85714,39.42857143,467844.7143,3.829285714
Type,-1,-1,1,-1,1
