Ai,Name,C1 esg_score,C2 lead_time_in_days,C3 quantity,C4 unit_price,C5 total_sales
A1,SUPPLIER 1,110.1666667,12621,39.16666667,505947.5,2.331
A2,SUPPLIER 10,46,12436,34,422824,6.776
A3,SUPPLIER 2,83,11875.84211,33.68421053,405245.9474,5.319368421
A4,SUPPLIER 28,100.0285714,11657.14286,37.85714286,443098.7143,6.355457143
A5,SUPPLIER 7,68.33333333,11367.66667,39.5,443057.5,3.843666667
Type,,-1,-1,1,-1,1
