Ai,Name,C1 esg_score,C2 lead_time_in_days,C3 quantity,C4 unit_price,C5 total_sales
A1,SUPPLIER 1,2.549,83.6,11250.6,30.6,342898.2
A2,SUPPLIER 10,7.161,131.6666667,10411.66667,37.33333333,408444
A3,SUPPLIER 2,4.195647059,90.47058824,12198.05882,38.23529412,472817.3529
A4,SUPPLIER 28,5.678935484,100.0322581,11783.96774,36.70967742,425554.2903
A5,SUPPLIER 7,3.944333333,100,11178,33.16666667,372827.6667
Type,,-1,-1,1,-1,1
